NAME,TAXON_NAME,ACTIVE_DATA_ENTRY,TAXON_GROUP_CLASS,FAMILY,RANK,MAITLAND_CODE,CEH_CODE,CEH_NAME,AQEM_CODE,NBN_CODE,RED_BOOK_TEXT,AUTHORITY,ALT_TAXONNAME_1,ALT_TAXONNAME_2,ALT_TAXONNAME_3,LAMM_ACID_SENS,LAMM_WEIGHTING,LAMM_TAXON,LAMM_TL,AWIC_A,AWIC_B,AWIC_C,AWIC_TAXON,BMWP,WHPT_P,WHPT_A,WHPT_B,WHPT_C,WHPT_D,PSI_GROUP,EPSI_WEIGHT_TL5,EPSI_WEIGHT_FAM,LIFE_GROUP,SPEAR_SPECIES,TL5_TAXON,TL4_TAXON,TL3_TAXON,TL2_TAXON,TL1_TAXON,TL2_5_TAXON,TL2_5_ORDER,ECN_TL,DISPLAY_GROUP,ENTRY_SCREEN,CHANGED_ON,CHANGED_BY,GROUP_NAME,REMOVED
1,Protozoa,T,protozoan,,Class,1000000,1000000,Protozoa,,NHMSYS0000842087,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
2,Opalinata,T,protozoan,,Family,1200000,1200000,Opalinata,,NBNSYS0100014057,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
3,Sarcodina,T,protozoan,,Family,1300000,1300000,Sarcodina,,NBNSYS0100015089,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
4,Sporozoa,T,protozoan,,Family,1400000,1400000,Sporozoa,,NBNSYS0100015419,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
5,Porifera,T,Porifera,,Class,2000000,2000000,Porifera,10633,NHMSYS0000842031,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
6,Demospongea,T,Porifera,,Family,2100000,2100000,Demospongea,,NBNSYS0100011233,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
7,Spongillidae,T,Porifera,Spongillidae,Family,2110000,2110000,Spongillidae,8846,NBNSYS0000161044,,,,,,,,,F,,,,,0,,,,,,B,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
8,Spongilla,T,Porifera,Spongillidae,Genus,2110100,2110100,Spongilla,,NBNSYS0000137942,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
9,Spongilla lacustris,T,Porifera,Spongillidae,Species,2110101,2110101,Spongilla lacustris,6894,NBNSYS0000022283,,(Linnaeus),,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
10,Eunapius,T,Porifera,Spongillidae,Genus,2110200,2110200,Eunapius,,NBNSYS0100011795,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
11,Eunapius fragilis,T,Porifera,Spongillidae,Species,2110201,2110201,Eunapius fragilis,5238,NBNSYS0100011796,,"(Leidy, 1851)",,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
12,Ephydatia,T,Porifera,Spongillidae,Genus,2110300,2110300,Ephydatia,,NBNSYS0000132876,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
13,Ephydatia fluviatilis,T,Porifera,Spongillidae,Species,2110301,2110301,Ephydatia fluviatilis,5140,NBNSYS0000022284,,"(Linnaeus, 1759)",,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
14,Ephydatia mulleri,T,Porifera,Spongillidae,Species,2110302,2110302,Ephydatia mulleri,,NBNSYS0100011574,,(Lieberkühn 1855),,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
15,Racekiela,T,Porifera,Spongillidae,Genus,2110400,2110400,Racekiela,,NHMSYS0020706570,,,Anheteromeyenia,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
16,Racekiela ryderi,T,Porifera,Spongillidae,Species,2110401,2110401,Racekiela ryderi,,NHMSYS0020706571,,"(Potts, 1882)",Anheteromeyenia ryderi,,,,,,F,,,,,0,,,,,,,,,,F,,Spongillidae,Spongillidae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
17,Coelenterata,T,Coelenterate,,Class,3000000,3000000,Coelenterata,10632,NHMSYS0000842035,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
18,Hydroida,T,Coelenterate,,Family,3100000,3100000,Hydroida,,NHMSYS0000066203,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
19,Hydridae,T,Coelenterate,Hydridae,Family,3110000,3110000,Hydridae,9354,NBNSYS0000160186,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
20,Hydra,T,Coelenterate,Hydridae,Genus,3110100,3110100,Hydra,,NBNSYS0000039898,,,,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
21,Hydra attenuata,T,Coelenterate,Hydridae,Species,3110101,3110102,Hydra circumcincta,5500,NBNSYS0100012472,,Pallas,Hydra circumcincta,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
22,Hydra circumcincta,T,Coelenterate,Hydridae,Species,3110102,3110102,Hydra circumcincta,10459,NBNSYS0100012473,,"Schulze, 1914",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
23,Hydra graysoni,T,Coelenterate,Hydridae,Species,3110103,3110103,Hydra graysoni,19119,NBNSYS0000022287,,"Maxwell, 1972",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
24,Hydra oligactis,T,Coelenterate,Hydridae,Species,3110104,3110104,Hydra oligactis,5501,NBNSYS0100012474,,"Pallas, 1766",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
25,Hydra viridissima,T,Coelenterate,Hydridae,Species,3110105,3110105,Hydra viridissima,5503,NBNSYS0000022286,,"Pallas, 1766",,,,,,,F,,,,,0,,,,,,,,,,F,,Hydridae,Hydridae,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
26,Protohydridae,T,Coelenterate,Protohydridae,Family,3120000,3120000,Protohydridae,16837,NBNSYS0100014814,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
27,Protohydra,T,Coelenterate,Protohydridae,Genus,3120100,3120100,Protohydra,,NBNSYS0000186127,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
28,Protohydra leuckarti,T,Coelenterate,Protohydridae,Species,3120101,3120101,Protohydra leuckarti,16835,NBNSYS0000186128,,"Greef, 1870",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
29,Clavidae,T,Coelenterate,Clavidae,Family,3130000,3130000,Clavidae,14649,NBNSYS0000159712,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
30,Cordylophora,T,Coelenterate,Clavidae,Genus,3130100,3130100,Cordylophora,,NBNSYS0000188403,,"Allman, 1844",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
31,Cordylophora caspia,T,Coelenterate,Clavidae,Species,3130101,3130101,Cordylophora caspia,4743,NBNSYS0000022288,,"(Pallas, 1766)",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
32,Trachylina,T,Coelenterate,,Order,3200000,3200000,Trachylina,,NHMSYS0000066830,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
33,Olindiidae,T,Coelenterate,Olindiidae,Family,3210000,3210000,Olindiidae,16838,NBNSYS0000160560,,,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
34,Craspedacusta,T,Coelenterate,Olindiidae,Genus,3210100,3210100,Craspedacusta,,NBNSYS0000188406,,"Lankester, 1880",,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
35,Craspedacusta sowerbii,T,Coelenterate,Olindiidae,Species,3210101,3210101,Craspedacusta sowerbii,,NBNSYS0100010917,,Lankester,,,,,,,F,,,,,0,,,,,,,,,,F,,,,,,,,F,,,13/10/2015 10:22,SYS_GR,DEFAULT,F
