SAMPLING_POINT,S_SAMPLING_PT_DESC,SAMPLED_DATE,Cased caddis,Olives,Caseless caddis,Flat bodied,Stoneflies,Gammarus,Blue winged olives,True Mayflies,RiverflyScore,S_CATCHMENT
122716,Annick Water @ Broomlands Br,05/05/2015 12:45,2,3,2,2,1,1,0,0,11,90
122716,Annick Water @ Broomlands Br,15/09/2015 13:00,2,3,2,2,2,1,1,0,13,90
122716,Annick Water @ Broomlands Br,29/04/2016 12:30,1,3,2,3,2,1,0,0,12,90
122716,Annick Water @ Broomlands Br,28/10/2016 15:30,1,2,2,3,1,2,0,0,11,90
122716,Annick Water @ Broomlands Br,29/05/2017 13:30,1,2,2,2,2,1,3,0,13,90
394570,"Auchmannoch Burn, South East of Sawerston, Mauchline",30/04/2015 12:00,1,2,2,3,2,0,0,0,10,90
394570,"Auchmannoch Burn, South East of Sawerston, Mauchline",16/12/2015 10:00,2,3,2,3,2,1,0,0,13,90
122701,Cessnock Water @ Hoodston (ecology),30/04/2015 10:40,1,2,1,2,1,1,0,0,8,90
122701,Cessnock Water @ Hoodston (ecology),15/09/2015 10:15,2,3,3,2,2,1,1,0,14,90
122701,Cessnock Water @ Hoodston (ecology),29/04/2016 11:00,1,3,2,3,1,1,0,0,11,90
122701,Cessnock Water @ Hoodston (ecology),12/05/2016 10:00,2,3,2,2,2,0,0,0,11,90
122701,Cessnock Water @ Hoodston (ecology),26/08/2016 10:00,2,2,2,2,2,0,1,0,11,90
122701,Cessnock Water @ Hoodston (ecology),30/11/2016 16:15,1,3,2,2,1,0,0,0,9,90
536475,Cessnock Water at Craighead Bridge (spot),07/07/2017 14:20,1,3,2,2,2,1,2,0,13,90
132848,"'Killoch Burn @ Lawersbridge Farm, Mauchline'",30/04/2015 11:20,1,2,1,1,1,1,0,0,7,90
132848,"'Killoch Burn @ Lawersbridge Farm, Mauchline'",16/12/2015 11:00,1,2,1,1,1,0,0,0,6,90
122706,Kilmarnock Water d/s Kilmarnock (ecology) u/s River Irvine confl,13/05/2015 14:50,1,2,2,2,1,1,0,0,9,90
122706,Kilmarnock Water d/s Kilmarnock (ecology) u/s River Irvine confl,15/09/2015 11:25,1,2,1,3,2,1,0,0,10,90
121572,River Irvine @ Dreghorn,05/05/2015 12:20,1,2,1,3,1,0,0,0,8,90
121572,River Irvine @ Dreghorn,15/09/2015 12:15,2,2,2,2,2,0,1,0,11,90
121572,River Irvine @ Dreghorn,29/04/2016 15:00,2,2,2,3,1,0,0,0,10,90
121572,River Irvine @ Dreghorn,28/10/2016 14:10,3,2,2,3,1,1,0,0,12,90
134152,River Irvine @ Mill Bridge,30/04/2015 10:10,1,2,2,2,2,2,0,0,11,90
134152,River Irvine @ Mill Bridge,15/09/2015 09:30,1,2,0,0,1,1,1,0,6,90
134152,River Irvine @ Mill Bridge,29/04/2016 10:00,1,3,1,3,2,2,0,0,12,90
134152,River Irvine @ Mill Bridge,28/10/2016 10:00,1,1,0,1,1,1,0,0,5,90
122690,River Irvine d/s Newmilns,24/05/2017 15:00,1,3,2,3,2,1,2,0,14,90
122568,Allander Water d/s Milngavie STW,22/05/2015 11:25,2,2,2,2,2,2,3,0,15,98
122568,Allander Water d/s Milngavie STW,13/10/2015 14:00,1,2,2,1,1,1,0,0,8,98
122593,Bothlin Burn @ Bothlin Foot (ecology),21/05/2015 10:30,2,3,2,2,2,1,2,0,14,98
122593,Bothlin Burn @ Bothlin Foot (ecology),28/09/2015 11:00,2,3,2,2,0,2,2,0,13,98
121293,Glazert Water @ Glazert Foot,23/05/2016 13:20,1,2,1,2,2,1,1,0,10,98
121293,Glazert Water @ Glazert Foot,04/10/2016 11:30,1,2,1,2,2,1,0,0,9,98
134232,Kirk Burn u/s Glazert Water conf,23/05/2016 14:05,0,3,2,3,2,1,0,0,11,98
134232,Kirk Burn u/s Glazert Water conf,04/10/2016 12:15,1,2,1,2,2,1,0,0,9,98
122579,Luggie Water @ Luggie Foot (ecology),23/05/2016 12:45,2,2,2,2,2,2,2,0,14,98
122579,Luggie Water @ Luggie Foot (ecology),04/10/2016 10:45,1,2,2,2,0,3,0,0,10,98
122575,Luggie Water @ North Myvot Farm (ecology),14/05/2015 10:20,1,2,1,2,1,2,0,0,9,98
122575,Luggie Water @ North Myvot Farm (ecology),22/10/2015 14:20,1,2,1,2,1,2,2,0,11,98
122575,Luggie Water @ North Myvot Farm (ecology),22/04/2016 08:40,1,3,1,2,1,2,0,0,10,98
122575,Luggie Water @ North Myvot Farm (ecology),22/09/2016 11:30,1,2,1,1,1,2,2,0,10,98
122555,River Kelvin @ Auchinstarry,14/05/2015 09:30,2,3,1,0,2,2,0,0,10,98
122555,River Kelvin @ Auchinstarry,22/10/2015 12:45,0,2,2,0,1,2,1,0,8,98
122555,River Kelvin @ Auchinstarry,22/04/2016 09:50,1,2,1,0,2,1,0,0,7,98
122555,River Kelvin @ Auchinstarry,08/09/2016 11:20,1,2,2,0,2,2,1,0,10,98
122562,River Kelvin @ Kelvingrove,22/05/2015 10:40,2,2,2,2,2,2,2,0,14,98
122562,River Kelvin @ Kelvingrove,13/10/2015 17:00,1,3,3,3,0,2,1,0,13,98
122562,River Kelvin @ Kelvingrove,26/05/2016 11:00,2,3,2,3,2,2,2,0,16,98
122562,River Kelvin @ Kelvingrove,03/11/2016 12:10,1,2,2,3,1,2,0,0,11,98
